n1=n2=n3,c1wait,c2wait,c3wait,c1turn,c2turn,c3turn
100000,2,3,4,4,5,6
200000,4,6,6,7,10,9
300000,8,10,10,13,16,15
400000,20,21,20,31,32,30
500000,20,21,22,31,32,34
600000,24,26,27,37,40,41
700000,32,33,34,49,50,51
800000,44,48,49,67,74,75
900000,49,45,49,76,68,75
1000000,46,47,48,70,71,73
