n1=n2=n3,c1wait,c2wait,c3wait,c1turn,c2turn,c3turn
100000,0,3,6,3,6,9
200000,6,9,6,12,15,9
300000,6,9,12,12,15,18
400000,12,15,18,21,24,27
500000,18,21,24,30,33,36
600000,24,27,30,39,42,45
700000,24,27,30,39,42,45
800000,30,36,39,48,57,60
900000,42,45,48,66,69,72
1000000,48,51,54,75,78,81
