n1=n2=n3,c1wait,c2wait,c3wait,c1turn,c2turn,c3turn
100000,0,2,4,2,4,6
200000,4,6,8,8,10,12
300000,12,10,14,20,16,24
400000,16,18,20,26,28,30
500000,20,22,24,32,34,36
600000,20,24,26,32,38,40
700000,28,30,32,44,46,48
800000,32,34,36,50,52,56
900000,40,42,44,62,64,68
1000000,40,42,44,62,64,66
